post_id,title,directory_id,level_id,user,description,excerpt,categories,locations,address_line_1,address_line_2,zip,latitude,longitude,map_icon_file,tags,images,videos,expiration_date,contact_email,claimable,file_upload,phone,event_date,additional_description,price,event_type,methods_of_payment,website,email,opening_hours
test line 2

Super Shopping in\' LA

1

2
3
4
5",,,0;1;2;6;7,"http://www.salephpscripts.com>view our site",example@example.com,
627,"Business in LA",1,1,1,"Suspendisse vitae rutrum ante. Fusce vitae orci in ligula tempor viverra. Nunc in tristique lectus. Suspendisse euismod, dolor ac mollis cursus, mauris dui varius nunc, a faucibus turpis arcu interdum erat. Proin id gravida orci. Cras vel velit augue. Proin id auctor sem. In hendrerit bibendum ultricies. Ut sed ipsum enim, vitae iaculis dolor. Sed diam nulla, bibendum quis tincidunt id, accumsan in mi. Phasellus ultricies augue sit amet est aliquam blandit. Suspendisse eu lacus non enim imperdiet bibendum quis eu nulla. Morbi vitae sapien id urna dictum semper. Etiam placerat purus nec mauris mollis pharetra. Proin faucibus vehicula lacus, sed commodo odio interdum vitae. Quisque elementum pharetra rutrum.","Suspendisse vitae rutrum ante. Fusce vitae orci in ligula tempor viverra. Nunc in tristique lectus.","Business Services>Advertising, Marketing &amp; PR;United States>California>Los Angeles",,,,,33.913307,-117.969025,w2dc-fa-bitcoin,,business_1.jpg,,,,,,"(123) 123-4444","20.11.2013 00:00",,,,,"www.salephpscripts.com>view our site",admin.adimn@test.com,
638,"Santa Clara Valley Medical Center",1,3,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Health &amp; Medical>Blood Banks;Health &amp; Medical>Clinics;Health &amp; Medical;Health &amp; Medical>Healthcare Consultants;Health &amp; Medical>Healthcare Professionals;Health &amp; Medical>Medical Equipment &amp; Supplies;Health &amp; Medical>Medical Research Facilities;Health &amp; Medical>Nursing Care Facilities;Health &amp; Medical>Pharmacies &amp; Drug Stores",,,,,,,,,medical_1.jpg;medical_2.jpg;medical_3.jpg;medical_4.jpg,IeSW2Gg1qIY,"01.01.2020 00:00",,,,"(223) 123-4444","21.11.2013 00:00",,,,0;1;2;3;6;7,,,
1137,"Benton, John B Jr",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Business Services;Construction>Real estate;United States>Lousiana",,"6649 N Blue Gum St New Orleans Orleans LA",,70116,29.951065,-90.071533,w2dc-fa-bitcoin,,3D-Didgital-086.jpg,,,,,,504-621-8927,"02.11.2014 00:00",,11,,0;1;6;7,http://www.bentonjohnbjr.com,jbutt@gmail.com,
1139,"Chanay, Jeffrey A Esq",1,3,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"For sale>electronics;For sale>furniture;For sale>garage sale;Shopping &amp; Shopping Services>Music;For sale>sporting",,,,,,,,,3d_tractor.jpg,,"01.01.2020 00:00",,,,810-292-9388,"22.11.2014 00:00",,123,,1;4;6;7,http://www.chanayjeffreyaesq.com,josephine_darakjy@darakjy.org,
1141,"Chemel, James L Cpa",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Finance>Banks;Construction;United States>New Jersey",,"8 W Cerritos Ave #54 Bridgeport Gloucester NJ",,8014,39.800945,-75.347412,w2dc-fa-line-chart,,christmas_19233.jpg,,,,,,856-636-8749,"12.12.2014 00:00",,55,,1,http://www.chemeljameslcpa.com,art@venere.org,
1143,"Feltz Printing Service",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Finance>Banks;Transportation;United States>Alaska",,"639 Main St Anchorage Anchorage AK",,99501,60.940990,-149.169983,w2dc-fa-line-chart,,christmas_44053.jpg,,,,,,907-385-4412,"03.04.2014 00:00",,110,,1;6;7,http://www.feltzprintingservice.com,lpaprocki@hotmail.com,
1145,"Printing Dimensions",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Education;Finance>Security Brokers &amp; Dealers;United States>Ohio",,"34 Center St Hamilton Butler OH",,45011,39.399075,-84.556183,w2dc-fa-pencil-square-o,,flowers_53666.jpg,,,,,,513-570-1893,"20.10.2015 00:00",,20,,1,http://www.printingdimensions.com,donette.foller@cox.net,
1147,"Chapman, Ross E Esq",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Community Services>Events;Travel &amp; Tourism>Hotels &amp; Motels;Shopping &amp; Shopping Services>Music;United States>Ohio",,"3 Mcauley Dr Ashland Ashland OH",,44805,40.868668,-82.318214,w2dc-fa-comment,,nVidia-KDE-Blue.jpg,,,,,,419-503-2484,"10.10.2015 00:00",,30,,1;6;7,http://www.chapmanrosseesq.com,simona@morasca.com,
1149,"Morlong Associates",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Real Estate>Agencies;United States>Illinois",,"7 Eads St Chicago Cook IL",,60632,41.878113,-87.629799,w2dc-fa-building,,pc03_1024x768.jpg,,,,,,773-573-6914,"05.06.2014 00:00",,29.99,,1,http://www.morlongassociates.com,mitsue_tollner@yahoo.com,
1151,"Commercial Press",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Construction>Real estate;United States>California",,"7 W Jackson Blvd San Jose Santa Clara CA",,95111,37.347050,-121.898422,w2dc-fa-wrench,,thunderbird.jpg,,,,,,408-752-3500,"07.10.2014 00:00",,35.5,,1,http://www.commercialpress.com,leota@hotmail.com,
1153,"Truhlar And Truhlar Attys",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Health &amp; Medical>Clinics;Transportation;United States>South Dakota",,"5 Boston Ave #88 Sioux Falls Minnehaha SD",,57105,43.549976,-96.700325,w2dc-fa-ambulance,,lovetux1024.jpg,,,,,,605-414-2147,"23.06.2014 00:00",,50,,1,http://www.truhlarandtruhlarattys.com,sage_wieser@cox.net,
1155,"King, Christopher A Esq",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Finance>Banks;Business Services;Business Services>Pet;United States>Maryland",,"228 Runamuck Pl #2808 Baltimore Baltimore City MD",,21224,39.290386,-76.612190,w2dc-fa-line-chart,,diagonal-1400-apple-1.jpg,,,,,,410-655-8723,"30.04.2014 00:00",,120,,1;6;7,http://www.kingchristopheraesq.com,kris@gmail.com,
1157,"Dorl, James J Esq",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Shopping &amp; Shopping Services>Catalog &amp; Electronic Shopping;United States>Pennsylvania",,"2371 Jerrold Ave Kulpsville Montgomery PA",,19443,40.242882,-75.336563,w2dc-fa-shopping-cart,,olegito_konkursnaya_rabo.jpg,,,,,,215-874-1229,"25.02.2013 00:00",,250,,1,http://www.dorljamesjesq.com,minna_amigon@yahoo.com,
1159,"Rangoni Of Florence",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Finance>Security Brokers &amp; Dealers;United States>New York",,"37275 St  Rt 17m M Middle Island Suffolk NY",,11953,40.883118,-72.942184,w2dc-fa-line-chart,,ATI_BG.jpg,,,,,,631-335-3414,"12.12.2014 00:00",,500,,1;6;7,http://www.rangoniofflorence.com,amaclead@gmail.com,
1161,"Feiner Bros",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Construction>Real estate;United States>California",,"25 E 75th St #69 Los Angeles Los Angeles CA",,90034,33.972153,-118.273903,w2dc-fa-wrench,,COM0028.jpg,,,,,,310-498-5651,"19.11.2014 00:00",,235,,1;6;7,http://www.feinerbros.com,kiley.caldarera@aol.com,
1163,"Buckley Miller &#038; Wright",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Business Services;Community Services;United States>Ohio",,"98 Connecticut Ave Nw Chagrin Falls Geauga OH",,44023,41.464153,-81.207817,w2dc-fa-bitcoin,,Digital-Keyboard_.jpg,,,,,,440-780-8425,"09.08.2014 00:00",,19,,1,http://www.buckleymillerwright.com,gruta@cox.net,
1165,"Rousseaux, Michael Esq",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"For sale>electronics;United States>Texas",,"56 E Morehead St Laredo Webb TX",,78045,27.506407,-99.507545,w2dc-fa-paypal,,Feel-the-power-FINAL.jpg,,,,,,956-537-6195,"17.09.2014 00:00",,99,,1;6;7,http://www.rousseauxmichaelesq.com,calbares@gmail.com,
1167,"Century Communications",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Health &amp; Medical>Clinics;Health &amp; Medical>Medical Equipment &amp; Supplies;Shopping &amp; Shopping Services>Nurseries &amp; Garden Centers;United States>Arizona",,"73 State Road 434 E Phoenix Maricopa AZ",,85013,33.544216,-112.077019,w2dc-fa-ambulance,,wall_236_1.jpg,,,,,,602-277-4385,"02.11.2014 00:00",,100,,1,http://www.centurycommunications.com,mattie@aol.com,
1169,"Bolton, Wilbur Esq",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Community Services;United States>Tennessee",,"69734 E Carrillo St Mc Minnville Warren TN",,37110,35.686588,-85.780144,w2dc-fa-comment,,374-1024.jpg,,,,,,931-313-9635,"22.11.2014 00:00",,45.5,,1,http://www.boltonwilburesq.com,meaghan@hotmail.com,
1171,"T M Byxbee Company Pc",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"For sale>beauty &amp; health;For sale>electronics;United States>Wisconsin",,"322 New Horizon Blvd Milwaukee Milwaukee WI",,53207,43.010452,-87.947624,w2dc-fa-paypal,,ANM0003.jpg,,,,,,414-661-9598,"12.12.2014 00:00",,45.55,,1;6;7,http://www.tmbyxbeecompanypc.com,gladys.rim@rim.org,
1173,"Farmers Insurance Group",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Business Services>Pet;Shopping &amp; Shopping Services>Pets;Transportation;United States>Michigan",,"1 State Route 27 Taylor Wayne MI",,48180,42.263763,-83.223083,w2dc-fa-bitcoin,,ANM0010.jpg,,,,,,313-288-7937,"03.04.2014 00:00",,125,,1,http://www.farmersinsurancegroup.com,yuki_whobrey@aol.com,
1175,"Post Box Services Plus",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Health &amp; Medical>Clinics;Health &amp; Medical>Medical Equipment &amp; Supplies;United States>Illinois",,"394 Manchester Blvd Rockford Winnebago IL",,61109,42.236301,-89.029732,w2dc-fa-ambulance,,00192_goldengate_1024x768.jpg,,,,,,815-828-2147,"20.10.2015 00:00",,190,,1,http://www.postboxservicesplus.com,fletcher.flosi@yahoo.com,
1177,"Sport En Art",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Construction;United States>Pennsylvania",,"6 S 33rd St Aston Delaware PA",,19014,39.864819,-75.425735,w2dc-fa-wrench,,ANM0033.jpg,,,,,,610-545-3615,"10.10.2015 00:00",,150,,1;6;7,http://www.sportenart.com,bette_nicka@cox.net,
1179,"C 4 Network Inc",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Education;Finance>Security Brokers &amp; Dealers;United States>California",,"6 Greenleaf Ave San Jose Santa Clara CA",,95111,37.308849,-121.787155,w2dc-fa-pencil-square-o,,ANM0045.jpg,,,,,,408-540-1785,"05.06.2014 00:00",,110,,1;6;7,http://www.cnetworkinc.com,vinouye@aol.com,
1181,"Ingalls, Donald R Esq",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"For sale>beauty &amp; health;For sale>electronics;For sale>sporting;United States>Texas",,"618 W Yakima Ave Irving Dallas TX",,75062,32.808609,-96.859451,w2dc-fa-paypal,,00217_federalhillpark_1600x1200.jpg,,,,,,972-303-9197,"07.10.2014 00:00",,90,,1;2;6;7,http://www.ingallsdonaldresq.com,willard@hotmail.com,
1183,"Franklin, Peter L Esq",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Community Services;Education;United States>New York",,"74 S Westgate St NY",,12204,40.672836,-73.760429,w2dc-fa-comment,,ANM0070.jpg,,,,,,518-966-7987,"23.06.2014 00:00",,115.5,,1;6;7,http://www.franklinpeterlesq.com,mroyster@royster.com,
1185,"Wtlz Power 107 Fm",1,1,1,"Aenean gravida dapibus mollis. Praesent non nisl risus. Morbi dolor mauris, sodales sed bibendum et, interdum sed orci. Nullam ultrices, lorem eu commodo convallis, odio turpis fringilla lorem, eu auctor ipsum mi sed orci. In nibh velit, tempus in auctor in, adipiscing ut odio. Phasellus vitae purus turpis, ultricies aliquam metus. Suspendisse dignissim gravida rutrum. Nam commodo neque libero, et viverra libero.",,"Construction;United States>New Jersey",,"3273 State St Middlesex Middlesex NJ",,8846,40.524708,-74.452454,w2dc-fa-wrench,,ANM0073.jpg,,,,,,732-658-3154,"30.04.2014 00:00",,60,,1;6;7,http://www.wtlzpowerfm.com,alisha@slusarski.com,
